id;plaka_no;model_yili;rengi;yakit_turu;vites_turu;motor_no;sasi_no;kullanim_sekli;arac_tipi;aciklama
1;systemic;80620;quantify;DIZEL;MANUEL;navigate Kiribati;bypass Games Customer-focused;HUSISI;HATCHBACK;back-end enhance
2;optimal;37728;Toys;DIZEL;OTOMATIK;Total;Investment Account Indian Rupee;HUSISI;SEDAN;empower
3;customized payment;57077;dot-com;HYBRID;MANUEL;Avon;blue scalable Car;SIRKET;STAION_WAGON;Jewelery Engineer Bedfordshire
4;Tanzanian Shilling Assurance Nebraska;57161;stable override;HYBRID;MANUEL;pixel;asymmetric Montana Sausages;HUSISI;HATCHBACK;Yemen
5;open architecture;80987;Customer-focused;BENZIN;MANUEL;transmitting parse infrastructures;matrix Implementation Shirt;HUSISI;HATCHBACK;override back-end hacking
6;open-source;66519;Tunisia granular;BENZIN;MANUEL;convergence Idaho customized;synthesize Bahrain;HUSISI;SEDAN;Belize Dollar Bacon
7;Investment Account Rwanda Customer;78859;Cheese orchestration Robust;DIZEL;OTOMATIK;Bosnia and Herzegovina generate Creek;syndicate haptic;SIRKET;HATCHBACK;Credit Card Account Nevada
8;Persistent transparent Chips;90845;Idaho strategize;LPG;MANUEL;bus;Security Virginia;HUSISI;STAION_WAGON;Unbranded programming District
9;Concrete;98484;hacking;LPG;MANUEL;Persistent Investment Account;Handmade Plastic Mouse neural;SIRKET;STAION_WAGON;JSON National
10;interactive capacitor;45221;Assimilated Unions;DIZEL;OTOMATIK;frame multi-byte modular;Electronics;HUSISI;SEDAN;Zimbabwe
