id;ad;kodu;varsayilan_fiyati;aciklama
1;backing up Cambridgeshire Motorway;Internal Louisiana;66211;Mayotte AGP circuit
2;optical deposit;Pizza Fish next-generation;23869;Quality Generic El Salvador Colon US Dollar
3;Salad;Accountability Burg SAS;514;copying
4;reboot;Jewelery;55618;generate Adaptive black
5;Money Market Account;New York Concrete expedite;907;synthesizing Wooden
6;back up;web services copying;39215;Sausages bypass
7;Directives Baht Tasty Plastic Keyboard;bypass hard drive Hollow;5792;Small SCSI
8;Technician Architect calculate;Auto Loan Account;38361;Small Fresh Gloves
9;Buckinghamshire compress;Grocery Ball Wells;94430;Practical GB
10;neural Guinea Franc;bypassing;77282;Profound Plastic XSS
